timestamp,service,version,environment,status,change_type,incident_flag,incident_type
2025-02-06 10:00:00,catalog-api,2025.02.06.1,production,success,feature_release,False,normal
2025-03-18 09:00:00,checkout-api,2025.03.18.1,production,failed,dependency_upgrade,True,failed_deployment
2025-03-20 23:30:00,checkout-api,2025.03.18.1.rollback,production,rollback_success,rollback,True,failed_deployment
2025-04-29 11:00:00,recommendations-api,2025.04.29.1,production,success,model_refresh,False,normal
2025-07-22 14:00:00,checkout-api,2025.07.22.1,production,failed,payment_retry_refactor,True,failed_deployment
2025-07-23 08:30:00,checkout-api,2025.07.22.1.rollback,production,rollback_success,rollback,True,failed_deployment
2025-10-08 11:00:00,checkout-api,2025.10.08.2,production,failed,pricing_dependency_upgrade,True,failed_deployment
2025-10-11 02:30:00,checkout-api,2025.10.08.2.rollback,production,rollback_success,rollback,True,failed_deployment
2026-01-27 10:00:00,checkout-api,2026.01.27.1,production,failed,feature_release,True,failed_deployment
2026-01-28 18:30:00,checkout-api,2026.01.27.1.rollback,production,rollback_success,rollback,True,failed_deployment
2026-03-10 10:30:00,catalog-api,2026.03.10.1,production,success,search_tuning,False,normal
2026-04-14 08:00:00,checkout-api,2026.04.14.1,production,failed,database_driver_upgrade,True,failed_deployment
2026-04-18 22:30:00,checkout-api,2026.04.14.1.rollback,production,rollback_success,rollback,True,failed_deployment
2026-07-07 09:45:00,recommendations-api,2026.07.07.1,production,success,model_refresh,False,normal
2026-08-03 13:00:00,checkout-api,2026.08.03.1,production,failed,fraud_screening_release,True,failed_deployment
2026-08-04 23:30:00,checkout-api,2026.08.03.1.rollback,production,rollback_success,rollback,True,failed_deployment
2026-11-16 09:00:00,checkout-api,2026.11.16.1,production,failed,tax_service_migration,True,failed_deployment
2026-11-19 15:30:00,checkout-api,2026.11.16.1.rollback,production,rollback_success,rollback,True,failed_deployment
